Date,Numeric_date,PT ,ES,IT,IE,GR,DE,PT _spread,ES_spread,IT_spread,IE_spread,GR_spread,PT_price,ES_price,IT_price,IE_price,GR_price,DE_price,BBVA,BKIA,BKT,CABK,POP,SAB,SAN,ES_var,Lag1,Lag2,Lag3,Lag4,Var_BBVA,Var_BKIA,Var_BKT,Var_CABK,Var_POP,Var_SAB,Var_SAN,Lag1_Var_BBVA,Lag1_Var_BKIA,Lag1_Var_BKT,Lag1_Var_CABK,Lag1_Var_POP,Lag1_Var_SAB,Lag1_Var_SAN,Lag2_Var_BBVA,Lag2_Var_BKIA,Lag2_Var_BKT,Lag2_Var_CABK,Lag2_Var_POP,Lag2_Var_SAB,Lag2_Var_SAN,Lag3_Var_BBVA,Lag3_Var_BKIA,Lag3_Var_BKT,Lag3_Var_CABK,Lag3_Var_POP,Lag3_Var_SAB,Lag3_Var_SAN,Lag4_Var_BBVA,Lag4_Var_BKIA,Lag4_Var_BKT,Lag4_Var_CABK,Lag4_Var_POP,Lag4_Var_SAB,Lag4_Var_SAN
02/01/2001,36893,5.13,5.086,5.16,4.973,5.361,4.739,0.391,0.347,0.421,0.234,0.622,60.63639255,60.89075887,60.46363121,61.54941226,59.32000249,62.9384102,7.92587,0,5.31941,0,15.8301,0,4.10685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2001,36894,5.104,5.061,5.128,4.954,5.265,4.719,0.385,0.342,0.409,0.235,0.546,60.78655833,61.03580794,60.64792927,61.66092701,59.86321704,63.05871794,7.80298,0,5.45655,0,15.38078,4.99576,4.10685,-0.005,,,,,-0.015504922,0,0.025781055,0,-0.028383902,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2001,36895,5.119,5.07,5.131,4.966,5.285,4.73,0.389,0.34,0.401,0.236,0.555,60.69987437,60.98354654,60.6306251,61.59047081,59.74959768,62.99251741,8.38669,0,5.60812,0,15.24223,4.99576,4.34581,-0.002,-0.005,,,,0.074806036,0,0.027777625,0,-0.009007996,0,0.058185714,-0.015504922,0,0.025781055,0,-0.028383902,0,0,,,,,,,,,,,,,,,,,,,,,
05/01/2001,36896,5.076,5.033,5.091,4.922,5.253,4.693,0.383,0.34,0.398,0.229,0.56,60.94873295,61.19871429,60.86179458,61.84924404,59.93150272,63.21549634,8.47372,0,5.66875,0,14.80133,4.99576,4.35686,0,-0.002,-0.005,,,0.010377157,0,0.01081111,0,-0.028926214,0,0.002542679,0.074806036,0,0.027777625,0,-0.009007996,0,0.058185714,-0.015504922,0,0.025781055,0,-0.028383902,0,0,,,,,,,,,,,,,,
08/01/2001,36899,5.096,5.041,5.096,4.931,5.269,4.706,0.39,0.335,0.39,0.225,0.563,60.83284544,61.15212087,60.83284544,61.79621601,59.84047416,63.13705361,8.58638,0,5.63844,0,14.65436,4.99576,4.43772,-0.005,0,-0.002,-0.005,,0.013295223,0,-0.005346858,0,-0.009929513,0,0.018559238,0.010377157,0,0.01081111,0,-0.028926214,0,0.002542679,0.074806036,0,0.027777625,0,-0.009007996,0,0.058185714,-0.015504922,0,0.025781055,0,-0.028383902,0,0,,,,,,,
09/01/2001,36900,5.149,5.083,5.136,4.979,5.292,4.75,0.399,0.333,0.386,0.229,0.542,60.52691409,60.90814472,60.60179689,61.51424317,59.70988696,62.87234858,8.57098,0,5.65143,0,14.48645,4.99576,4.36052,-0.002,-0.005,0,-0.002,-0.005,-0.001793538,0,0.002303829,0,-0.011458023,0,-0.017396321,0.013295223,0,-0.005346858,0,-0.009929513,0,0.018559238,0.010377157,0,0.01081111,0,-0.028926214,0,0.002542679,0.074806036,0,0.027777625,0,-0.009007996,0,0.058185714,-0.015504922,0,0.025781055,0,-0.028383902,0,0
10/01/2001,36901,5.18,5.124,5.177,5.013,5.321,4.785,0.395,0.339,0.392,0.228,0.536,60.34875781,60.67100994,60.36597351,61.31536878,59.54568013,62.66265945,8.44495,0,5.67453,0,15.05331,4.99576,4.38994,0.006,-0.002,-0.005,0,-0.002,-0.01470427,0,0.004087461,0,0.03913036,0,0.006746902,-0.001793538,0,0.002303829,0,-0.011458023,0,-0.017396321,0.013295223,0,-0.005346858,0,-0.009929513,0,0.018559238,0.010377157,0,0.01081111,0,-0.028926214,0,0.002542679,0.074806036,0,0.027777625,0,-0.009007996,0,0.058185714
11/01/2001,36902,5.132,5.094,5.152,4.986,5.3,4.76,0.372,0.334,0.392,0.226,0.54,60.62485825,60.84442328,60.5096479,61.47324051,59.66453883,62.81235875,8.51686,0,5.63844,0,15.70415,5.06514,4.412,-0.005,0.006,-0.002,-0.005,0,0.008515148,0,-0.006359998,0,0.043235674,0.013887777,0.005025126,-0.01470427,0,0.004087461,0,0.03913036,0,0.006746902,-0.001793538,0,0.002303829,0,-0.011458023,0,-0.017396321,0.013295223,0,-0.005346858,0,-0.009929513,0,0.018559238,0.010377157,0,0.01081111,0,-0.028926214,0,0.002542679
12/01/2001,36903,5.208,5.165,5.215,5.057,5.338,4.83,0.378,0.335,0.385,0.227,0.508,60.18833817,60.43489033,60.14830659,61.05905104,59.44965194,62.3941887,8.68127,0,5.76835,0,15.41022,5.06514,4.44142,0.001,-0.005,0.006,-0.002,-0.005,0.019304063,0,0.023040061,0,-0.018716709,0,0.006668178,0.008515148,0,-0.006359998,0,0.043235674,0.013887777,0.005025126,-0.01470427,0,0.004087461,0,0.03913036,0,0.006746902,-0.001793538,0,0.002303829,0,-0.011458023,0,-0.017396321,0.013295223,0,-0.005346858,0,-0.009929513,0,0.018559238
15/01/2001,36906,5.195,5.16,5.208,5.047,5.365,4.821,0.374,0.339,0.387,0.226,0.544,60.26276031,60.46363121,60.18833817,61.11720141,59.29748653,62.44778146,8.61449,0,5.84486,0,15.28419,5.06514,4.45613,0.004,0.001,-0.005,0.006,-0.002,-0.007692423,0,0.013263758,0,-0.008178339,0,0.003312004,0.019304063,0,0.023040061,0,-0.018716709,0,0.006668178,0.008515148,0,-0.006359998,0,0.043235674,0.013887777,0.005025126,-0.01470427,0,0.004087461,0,0.03913036,0,0.006746902,-0.001793538,0,0.002303829,0,-0.011458023,0,-0.017396321
16/01/2001,36907,5.232,5.188,5.232,5.077,5.367,4.847,0.385,0.341,0.385,0.23,0.52,60.05120892,60.30287569,60.05120892,60.94293281,59.28623207,62.29309591,8.48093,0,5.70916,0,15.22121,5.06514,4.43037,0.002,0.004,0.001,-0.005,0.006,-0.01550411,0,-0.02321698,0,-0.004120598,0,-0.005780801,-0.007692423,0,0.013263758,0,-0.008178339,0,0.003312004,0.019304063,0,0.023040061,0,-0.018716709,0,0.006668178,0.008515148,0,-0.006359998,0,0.043235674,0.013887777,0.005025126,-0.01470427,0,0.004087461,0,0.03913036,0,0.006746902
17/01/2001,36908,5.193,5.164,5.206,5.054,5.379,4.822,0.371,0.342,0.384,0.232,0.557,60.27421885,60.4406373,60.19978115,61.07648976,59.21875465,62.44182421,8.68127,0,5.77413,0,15.11628,5.06514,4.52228,0.001,0.002,0.004,0.001,-0.005,0.023622409,0,0.011379958,0,-0.00689367,0,0.020745446,-0.01550411,0,-0.02321698,0,-0.004120598,0,-0.005780801,-0.007692423,0,0.013263758,0,-0.008178339,0,0.003312004,0.019304063,0,0.023040061,0,-0.018716709,0,0.006668178,0.008515148,0,-0.006359998,0,0.043235674,0.013887777,0.005025126
18/01/2001,36909,5.177,5.147,5.189,5.039,5.379,4.811,0.366,0.336,0.378,0.228,0.568,60.36597351,60.53842789,60.29714312,61.16376556,59.21875465,62.50738838,8.83537,0,6.09748,0,15.19602,5.06514,4.5517,-0.006,0.001,0.002,0.004,0.001,0.017750859,0,0.055999778,0,0.005275107,0,0.006505568,0.023622409,0,0.011379958,0,-0.00689367,0,0.020745446,-0.01550411,0,-0.02321698,0,-0.004120598,0,-0.005780801,-0.007692423,0,0.013263758,0,-0.008178339,0,0.003312004,0.019304063,0,0.023040061,0,-0.018716709,0,0.006668178
19/01/2001,36910,5.211,5.17,5.214,5.068,5.367,4.844,0.367,0.326,0.37,0.224,0.523,60.17117819,60.40616447,60.1540236,60.99515593,59.28623207,62.31092271,8.8097,0,6.21584,0,14.71734,5.06514,4.30538,-0.01,-0.006,0.001,0.002,0.004,-0.002905368,0,0.019411298,0,-0.031500353,0,-0.054116045,0.017750859,0,0.055999778,0,0.005275107,0,0.006505568,0.023622409,0,0.011379958,0,-0.00689367,0,0.020745446,-0.01550411,0,-0.02321698,0,-0.004120598,0,-0.005780801,-0.007692423,0,0.013263758,0,-0.008178339,0,0.003312004
22/01/2001,36913,5.22,5.19,5.238,5.09,5.386,4.866,0.354,0.324,0.372,0.224,0.52,60.11973054,60.29141116,60.01698033,60.86758622,59.17943183,62.18032301,8.69154,0,6.11336,0,14.67538,5.03739,4.33845,-0.002,-0.01,-0.006,0.001,0.002,-0.013412489,0,-0.016486911,0,-0.002851059,-0.005478624,0.007681087,-0.002905368,0,0.019411298,0,-0.031500353,0,-0.054116045,0.017750859,0,0.055999778,0,0.005275107,0,0.006505568,0.023622409,0,0.011379958,0,-0.00689367,0,0.020745446,-0.01550411,0,-0.02321698,0,-0.004120598,0,-0.005780801
23/01/2001,36914,5.203,5.168,5.222,5.064,5.366,4.846,0.357,0.322,0.376,0.218,0.52,60.2169501,60.41765301,60.1083043,61.018382,59.291859,62.29903755,8.75832,0,6.36598,0,15.32622,5.03739,4.45243,-0.002,-0.002,-0.01,-0.006,0.001,0.007683333,0,0.041322611,0,0.044349107,0,0.026272056,-0.013412489,0,-0.016486911,0,-0.002851059,-0.005478624,0.007681087,-0.002905368,0,0.019411298,0,-0.031500353,0,-0.054116045,0.017750859,0,0.055999778,0,0.005275107,0,0.006505568,0.023622409,0,0.011379958,0,-0.00689367,0,0.020745446
24/01/2001,36915,5.231,5.197,5.26,5.1,5.416,4.877,0.354,0.32,0.383,0.223,0.539,60.05691578,60.25130416,59.891659,60.80969704,59.01123051,62.11513609,8.75832,0,6.36598,0,15.32622,5.03739,4.45243,-0.002,-0.002,-0.002,-0.01,-0.006,0,0,0,0,0,0,0,0.007683333,0,0.041322611,0,0.044349107,0,0.026272056,-0.013412489,0,-0.016486911,0,-0.002851059,-0.005478624,0.007681087,-0.002905368,0,0.019411298,0,-0.031500353,0,-0.054116045,0.017750859,0,0.055999778,0,0.005275107,0,0.006505568
25/01/2001,36916,5.236,5.199,5.26,5.096,5.402,4.878,0.358,0.321,0.382,0.218,0.524,60.02838748,60.23985041,59.891659,60.83284544,59.08965893,62.10921374,8.76859,0,6.29813,0,15.6411,5.13452,4.46348,0.001,-0.002,-0.002,-0.002,-0.01,0.001172599,0,-0.010658218,0,0.020545183,0.019281811,0.002481791,0,0,0,0,0,0,0,0.007683333,0,0.041322611,0,0.044349107,0,0.026272056,-0.013412489,0,-0.016486911,0,-0.002851059,-0.005478624,0.007681087,-0.002905368,0,0.019411298,0,-0.031500353,0,-0.054116045
26/01/2001,36917,5.232,5.179,5.236,5.068,5.375,4.852,0.38,0.327,0.384,0.216,0.523,60.05120892,60.35449578,60.02838748,60.99515593,59.24123773,62.26339703,8.76859,0,6.29813,0,15.6411,5.13452,4.46348,0.006,0.001,-0.002,-0.002,-0.002,0,0,0,0,0,0,0,0.001172599,0,-0.010658218,0,0.020545183,0.019281811,0.002481791,0,0,0,0,0,0,0,0.007683333,0,0.041322611,0,0.044349107,0,0.026272056,-0.013412489,0,-0.016486911,0,-0.002851059,-0.005478624,0.007681087
29/01/2001,36920,5.225,5.177,5.233,5.06,5.382,4.848,0.377,0.329,0.385,0.212,0.534,60.09116942,60.36597351,60.04550267,61.0416178,59.20189849,62.28715488,8.48093,0,6.2938,0,15.19185,5.06514,4.2502,0.002,0.006,0.001,-0.002,-0.002,-0.03280573,0,-0.000687506,0,-0.028722404,-0.013512461,-0.047783344,0,0,0,0,0,0,0,0.001172599,0,-0.010658218,0,0.020545183,0.019281811,0.002481791,0,0,0,0,0,0,0,0.007683333,0,0.041322611,0,0.044349107,0,0.026272056
30/01/2001,36921,5.198,5.149,5.208,5.033,5.381,4.822,0.376,0.327,0.386,0.211,0.559,60.24557699,60.52691409,60.18833817,61.19871429,59.20751662,62.44182421,8.62989,0,6.3602,0,15.51515,5.1484,4.29802,-0.002,0.002,0.006,0.001,-0.002,0.017564111,0,0.010550065,0,0.021281147,0.016437848,0.011251235,-0.03280573,0,-0.000687506,0,-0.028722404,-0.013512461,-0.047783344,0,0,0,0,0,0,0,0.001172599,0,-0.010658218,0,0.020545183,0.019281811,0.002481791,0,0,0,0,0,0,0
31/01/2001,36922,5.161,5.119,5.182,5.006,5.347,4.797,0.364,0.322,0.385,0.209,0.55,60.45788183,60.69987437,60.33728368,61.35625562,59.39888247,62.59094322,8.83537,0,6.48723,0,15.36818,5.3288,4.36382,-0.005,-0.002,0.002,0.006,0.001,0.023810269,0,0.019972642,0,-0.009472677,0.035040012,0.015309375,0.017564111,0,0.010550065,0,0.021281147,0.016437848,0.011251235,-0.03280573,0,-0.000687506,0,-0.028722404,-0.013512461,-0.047783344,0,0,0,0,0,0,0,0.001172599,0,-0.010658218,0,0.020545183,0.019281811,0.002481791
01/02/2001,36923,5.159,5.109,5.17,4.994,5.323,4.789,0.37,0.32,0.381,0.205,0.534,60.46938119,60.75764855,60.40616447,61.42641714,59.53437385,62.638744,8.83537,0,6.32267,0,15.32622,5.41207,4.42668,-0.002,-0.005,-0.002,0.002,0.006,0,0,-0.025366759,0,-0.002730317,0.015626407,0.01440481,0.023810269,0,0.019972642,0,-0.009472677,0.035040012,0.015309375,0.017564111,0,0.010550065,0,0.021281147,0.016437848,0.011251235,-0.03280573,0,-0.000687506,0,-0.028722404,-0.013512461,-0.047783344,0,0,0,0,0,0,0
02/02/2001,36924,5.144,5.104,5.166,4.984,5.313,4.787,0.357,0.317,0.379,0.197,0.526,60.55570311,60.78655833,60.42914396,61.48495249,59.5909289,62.65070047,8.58364,0,6.19275,0,15.16666,5.46758,4.28617,-0.003,-0.002,-0.005,-0.002,0.002,-0.028491167,0,-0.020548281,0,-0.010410917,0.010256704,-0.031741621,0,0,-0.025366759,0,-0.002730317,0.015626407,0.01440481,0.023810269,0,0.019972642,0,-0.009472677,0.035040012,0.015309375,0.017564111,0,0.010550065,0,0.021281147,0.016437848,0.011251235,-0.03280573,0,-0.000687506,0,-0.028722404,-0.013512461,-0.047783344
05/02/2001,36927,5.124,5.088,5.149,4.963,5.299,4.768,0.356,0.32,0.381,0.195,0.531,60.67100994,60.87917133,60.52691409,61.60807655,59.67020527,62.76441222,8.65042,0,6.17831,0,15.47736,5.46758,4.31944,0.003,-0.003,-0.002,-0.005,-0.002,0.007779916,0,-0.002331759,0,0.020485723,0,0.007762175,-0.028491167,0,-0.020548281,0,-0.010410917,0.010256704,-0.031741621,0,0,-0.025366759,0,-0.002730317,0.015626407,0.01440481,0.023810269,0,0.019972642,0,-0.009472677,0.035040012,0.015309375,0.017564111,0,0.010550065,0,0.021281147,0.016437848,0.011251235
06/02/2001,36928,5.137,5.098,5.149,4.967,5.299,4.774,0.363,0.324,0.375,0.193,0.525,60.59603306,60.82127003,60.52691409,61.58460346,59.67020527,62.72847874,8.60936,0,6.22162,0,15.43116,5.41207,4.28617,0.004,0.003,-0.003,-0.002,-0.005,-0.00474659,0,0.007010008,0,-0.002985005,-0.010152572,-0.007702387,0.007779916,0,-0.002331759,0,0.020485723,0,0.007762175,-0.028491167,0,-0.020548281,0,-0.010410917,0.010256704,-0.031741621,0,0,-0.025366759,0,-0.002730317,0.015626407,0.01440481,0.023810269,0,0.019972642,0,-0.009472677,0.035040012,0.015309375
07/02/2001,36929,5.126,5.084,5.147,4.955,5.284,4.755,0.371,0.329,0.392,0.2,0.529,60.65946839,60.90234883,60.53842789,61.65505228,59.75527301,62.84234579,8.62989,0,6.05417,0,15.53617,5.33574,4.36754,0.005,0.004,0.003,-0.003,-0.002,0.002384614,0,-0.026914212,0,0.006805062,-0.014103661,0.018984315,-0.00474659,0,0.007010008,0,-0.002985005,-0.010152572,-0.007702387,0.007779916,0,-0.002331759,0,0.020485723,0,0.007762175,-0.028491167,0,-0.020548281,0,-0.010410917,0.010256704,-0.031741621,0,0,-0.025366759,0,-0.002730317,0.015626407,0.01440481
08/02/2001,36930,5.155,5.115,5.182,4.995,5.309,4.796,0.359,0.319,0.386,0.199,0.513,60.49238713,60.72297679,60.33728368,61.42056698,59.61356746,62.59691612,8.67614,0,6.04551,0,15.53617,5.34268,4.40081,-0.01,0.005,0.004,0.003,-0.003,0.00535928,0,-0.001430419,0,0,0.001300663,0.00761756,0.002384614,0,-0.026914212,0,0.006805062,-0.014103661,0.018984315,-0.00474659,0,0.007010008,0,-0.002985005,-0.010152572,-0.007702387,0.007779916,0,-0.002331759,0,0.020485723,0,0.007762175,-0.028491167,0,-0.020548281,0,-0.010410917,0.010256704,-0.031741621
09/02/2001,36931,5.123,5.087,5.156,4.961,5.292,4.771,0.352,0.316,0.385,0.19,0.521,60.67678162,60.8849648,60.48663474,61.61981679,59.70988696,62.74644265,8.56824,0,6.09892,0,15.57395,5.34268,4.35643,-0.003,-0.01,0.005,0.004,0.003,-0.012436406,0,0.008834656,0,0.002431745,0,-0.010084507,0.00535928,0,-0.001430419,0,0,0.001300663,0.00761756,0.002384614,0,-0.026914212,0,0.006805062,-0.014103661,0.018984315,-0.00474659,0,0.007010008,0,-0.002985005,-0.010152572,-0.007702387,0.007779916,0,-0.002331759,0,0.020485723,0,0.007762175
12/02/2001,36934,5.125,5.083,5.145,4.955,5.287,4.764,0.361,0.319,0.381,0.191,0.523,60.66523886,60.90814472,60.5499441,61.65505228,59.7382488,62.78838045,8.70694,0,6.14367,0,15.61591,5.34268,4.4378,0.003,-0.003,-0.01,0.005,0.004,0.016187688,0,0.007337365,0,0.002694243,0,0.018678138,-0.012436406,0,0.008834656,0,0.002431745,0,-0.010084507,0.00535928,0,-0.001430419,0,0,0.001300663,0.00761756,0.002384614,0,-0.026914212,0,0.006805062,-0.014103661,0.018984315,-0.00474659,0,0.007010008,0,-0.002985005,-0.010152572,-0.007702387
13/02/2001,36935,5.126,5.087,5.145,4.952,5.278,4.761,0.365,0.326,0.384,0.191,0.517,60.65946839,60.8849648,60.5499441,61.67267833,59.78933745,62.80636323,8.76345,0,6.18553,0,15.68731,5.34268,4.4378,0.007,0.003,-0.003,-0.01,0.005,0.006490225,0,0.006813517,0,0.00457226,0,0,0.016187688,0,0.007337365,0,0.002694243,0,0.018678138,-0.012436406,0,0.008834656,0,0.002431745,0,-0.010084507,0.00535928,0,-0.001430419,0,0,0.001300663,0.00761756,0.002384614,0,-0.026914212,0,0.006805062,-0.014103661,0.018984315
14/02/2001,36936,5.15,5.108,5.17,4.977,5.305,4.784,0.366,0.324,0.386,0.193,0.521,60.52115809,60.7634293,60.40616447,61.52596374,59.63621549,62.66863988,8.57851,0,5.99354,0,15.68313,5.34268,4.28245,-0.002,0.007,0.003,-0.003,-0.01,-0.021103561,0,-0.031038569,0,-0.000266457,0,-0.035006084,0.006490225,0,0.006813517,0,0.00457226,0,0,0.016187688,0,0.007337365,0,0.002694243,0,0.018678138,-0.012436406,0,0.008834656,0,0.002431745,0,-0.010084507,0.00535928,0,-0.001430419,0,0,0.001300663,0.00761756
15/02/2001,36937,5.213,5.169,5.231,5.048,5.345,4.841,0.372,0.328,0.39,0.207,0.504,60.1597412,60.41190844,60.05691578,61.11138363,59.41016045,62.32875513,8.65556,0,6.11047,0,15.70415,5.2733,4.39713,0.004,-0.002,0.007,0.003,-0.003,0.008981746,0,0.019509338,0,0.001340294,-0.012985992,0.026779063,-0.021103561,0,-0.031038569,0,-0.000266457,0,-0.035006084,0.006490225,0,0.006813517,0,0.00457226,0,0,0.016187688,0,0.007337365,0,0.002694243,0,0.018678138,-0.012436406,0,0.008834656,0,0.002431745,0,-0.010084507
16/02/2001,36938,5.188,5.15,5.208,5.025,5.367,4.818,0.37,0.332,0.39,0.207,0.549,60.30287569,60.52115809,60.18833817,61.24534676,59.28623207,62.46565697,8.53231,0,6.04551,0,15.57813,5.2733,4.36754,0.004,0.004,-0.002,0.007,0.003,-0.014239402,0,-0.010630933,0,-0.00802463,0,-0.006729389,0.008981746,0,0.019509338,0,0.001340294,-0.012985992,0.026779063,-0.021103561,0,-0.031038569,0,-0.000266457,0,-0.035006084,0.006490225,0,0.006813517,0,0.00457226,0,0,0.016187688,0,0.007337365,0,0.002694243,0,0.018678138
19/02/2001,36941,5.177,5.139,5.196,5.011,5.345,4.802,0.375,0.337,0.394,0.209,0.543,60.36597351,60.5845072,60.25703194,61.32704767,59.41016045,62.56108811,8.59904,0,6.00509,0,15.55293,5.2733,4.40081,0.005,0.004,0.004,-0.002,0.007,0.00782086,0,-0.006685954,0,-0.001617652,0,0.00761756,-0.014239402,0,-0.010630933,0,-0.00802463,0,-0.006729389,0.008981746,0,0.019509338,0,0.001340294,-0.012985992,0.026779063,-0.021103561,0,-0.031038569,0,-0.000266457,0,-0.035006084,0.006490225,0,0.006813517,0,0.00457226,0,0
20/02/2001,36942,5.202,5.164,5.23,5.029,5.375,4.818,0.384,0.346,0.412,0.211,0.557,60.22267428,60.4406373,60.06262323,61.22202564,59.24123773,62.46565697,8.4604,0,5.99065,0,15.42698,5.2733,4.22331,0.009,0.005,0.004,0.004,-0.002,-0.01612273,0,-0.002404627,0,-0.008098153,0,-0.040333484,0.00782086,0,-0.006685954,0,-0.001617652,0,0.00761756,-0.014239402,0,-0.010630933,0,-0.00802463,0,-0.006729389,0.008981746,0,0.019509338,0,0.001340294,-0.012985992,0.026779063,-0.021103561,0,-0.031038569,0,-0.000266457,0,-0.035006084
21/02/2001,36943,5.232,5.186,5.252,5.051,5.383,4.84,0.392,0.346,0.412,0.211,0.543,60.05120892,60.31434262,59.93719706,61.09393396,59.19628095,62.33470051,8.38843,0,5.93292,0,15.42698,5.2386,4.2048,0,0.009,0.005,0.004,0.004,-0.00850669,0,-0.009636684,0,0,-0.00658032,-0.004382818,-0.01612273,0,-0.002404627,0,-0.008098153,0,-0.040333484,0.00782086,0,-0.006685954,0,-0.001617652,0,0.00761756,-0.014239402,0,-0.010630933,0,-0.00802463,0,-0.006729389,0.008981746,0,0.019509338,0,0.001340294,-0.012985992,0.026779063
22/02/2001,36944,5.237,5.195,5.262,5.077,5.419,4.852,0.385,0.343,0.41,0.225,0.567,60.02268361,60.26276031,59.88028043,60.94293281,58.99443932,62.26339703,8.22921,0,5.75392,0,15.42698,5.20669,4.08647,-0.003,0,0.009,0.005,0.004,-0.018980906,0,-0.030170641,0,0,-0.006091322,-0.028141648,-0.00850669,0,-0.009636684,0,0,-0.00658032,-0.004382818,-0.01612273,0,-0.002404627,0,-0.008098153,0,-0.040333484,0.00782086,0,-0.006685954,0,-0.001617652,0,0.00761756,-0.014239402,0,-0.010630933,0,-0.00802463,0,-0.006729389
23/02/2001,36945,5.216,5.164,5.236,5.045,5.392,4.828,0.388,0.336,0.408,0.217,0.564,60.14259019,60.4406373,60.02838748,61.12883879,59.14574942,62.40609383,8.13676,0,5.67308,0,15.42698,5.20669,4.09015,-0.007,-0.003,0,0.009,0.005,-0.011234371,0,-0.014049552,0,0,0,0.000900533,-0.018980906,0,-0.030170641,0,0,-0.006091322,-0.028141648,-0.00850669,0,-0.009636684,0,0,-0.00658032,-0.004382818,-0.01612273,0,-0.002404627,0,-0.008098153,0,-0.040333484,0.00782086,0,-0.006685954,0,-0.001617652,0,0.00761756
26/02/2001,36948,5.216,5.166,5.24,5.048,5.372,4.83,0.386,0.336,0.41,0.218,0.542,60.14259019,60.42914396,60.00557557,61.11138363,59.2581062,62.3941887,8.24461,0,5.71206,0,15.42698,5.19004,4.13454,0,-0.007,-0.003,0,0.009,0.013254662,0,0.006871047,0,0,-0.003197809,0.010852903,-0.011234371,0,-0.014049552,0,0,0,0.000900533,-0.018980906,0,-0.030170641,0,0,-0.006091322,-0.028141648,-0.00850669,0,-0.009636684,0,0,-0.00658032,-0.004382818,-0.01612273,0,-0.002404627,0,-0.008098153,0,-0.040333484
27/02/2001,36949,5.142,5.098,5.176,4.975,5.326,4.757,0.385,0.341,0.419,0.218,0.569,60.56722294,60.82127003,60.37171327,61.53768677,59.51741885,62.83034908,8.34737,0,5.67453,0,15.42698,5.19004,4.13822,0.005,0,-0.007,-0.003,0,0.012463901,0,-0.006570309,0,0,0,0.000890063,0.013254662,0,0.006871047,0,0,-0.003197809,0.010852903,-0.011234371,0,-0.014049552,0,0,0,0.000900533,-0.018980906,0,-0.030170641,0,0,-0.006091322,-0.028141648,-0.00850669,0,-0.009636684,0,0,-0.00658032,-0.004382818
28/02/2001,36950,5.138,5.093,5.168,4.969,5.3,4.754,0.384,0.339,0.414,0.215,0.546,60.59026983,60.85021311,60.41765301,61.5728706,59.66453883,62.84834509,8.31139,0,5.69473,0,15.42698,5.19004,4.10867,-0.002,0.005,0,-0.007,-0.003,-0.00431034,0,0.003559766,0,0,0,-0.007140751,0.012463901,0,-0.006570309,0,0,0,0.000890063,0.013254662,0,0.006871047,0,0,-0.003197809,0.010852903,-0.011234371,0,-0.014049552,0,0,0,0.000900533,-0.018980906,0,-0.030170641,0,0,-0.006091322,-0.028141648
01/03/2001,36951,5.139,5.089,5.166,4.962,5.281,4.746,0.393,0.343,0.42,0.216,0.535,60.5845072,60.87337847,60.42914396,61.61394637,59.77230256,62.89636216,8.24979,0,5.71638,0,15.42698,5.19004,4.01618,0.004,-0.002,0.005,0,-0.007,-0.007411516,0,0.003801761,0,0,0,-0.022510934,-0.00431034,0,0.003559766,0,0,0,-0.007140751,0.012463901,0,-0.006570309,0,0,0,0.000890063,0.013254662,0,0.006871047,0,0,-0.003197809,0.010852903,-0.011234371,0,-0.014049552,0,0,0,0.000900533
02/03/2001,36952,5.12,5.079,5.161,4.953,5.301,4.735,0.385,0.344,0.426,0.218,0.566,60.69410027,60.93133435,60.45788183,61.66680236,59.65887298,62.96245153,8.22921,0,5.91559,0,15.42698,5.19004,4.07908,0.001,0.004,-0.002,0.005,0,-0.002494609,0,0.034848978,0,0,0,0.015661649,-0.007411516,0,0.003801761,0,0,0,-0.022510934,-0.00431034,0,0.003559766,0,0,0,-0.007140751,0.012463901,0,-0.006570309,0,0,0,0.000890063,0.013254662,0,0.006871047,0,0,-0.003197809,0.010852903
05/03/2001,36955,5.145,5.103,5.183,4.976,5.322,4.758,0.387,0.345,0.425,0.218,0.564,60.5499441,60.7923421,60.33154752,61.53182495,59.54002669,62.82435168,8.24461,0,5.90404,0,15.42698,5.13452,4.16041,0.001,0.001,0.004,-0.002,0.005,0.001871383,0,-0.001952468,0,0,-0.010697413,0.019938319,-0.002494609,0,0.034848978,0,0,0,0.015661649,-0.007411516,0,0.003801761,0,0,0,-0.022510934,-0.00431034,0,0.003559766,0,0,0,-0.007140751,0.012463901,0,-0.006570309,0,0,0,0.000890063
06/03/2001,36956,5.134,5.102,5.179,4.972,5.332,4.751,0.383,0.351,0.428,0.221,0.581,60.61332637,60.79812647,60.35449578,61.55527592,59.48352478,62.86634676,8.45008,0,6.00365,0,15.42698,5.13452,4.1974,0.006,0.001,0.001,0.004,-0.002,0.024921737,0,0.016871498,0,0,0,0.008890951,0.001871383,0,-0.001952468,0,0,-0.010697413,0.019938319,-0.002494609,0,0.034848978,0,0,0,0.015661649,-0.007411516,0,0.003801761,0,0,0,-0.022510934,-0.00431034,0,0.003559766,0,0,0,-0.007140751
